filename;Experiment;Day;expReplicate;CellType;Condition
20191206_002_S209921_iPSC_Neuron_Screen_1_SC3_27_re4ul;SC3;27;3;Neuron;N_27
20191206_003_S209922_iPSC_Neuron_Screen_2_SC3_21;SC3;21;3;Neuron;N_21
20191206_004_S209923_iPSC_Neuron_Screen_3_SC3_9;SC3;9;3;Neuron;N_09
20191206_006_S209924_iPSC_Neuron_Screen_4_SC3_0;SC3;0;3;iPSC;iPSC
20191206_007_S209925_iPSC_Neuron_Screen_5_SC3_15;SC3;15;3;Neuron;N_15
20191206_008_S209926_iPSC_Neuron_Screen_6_SC3_33;SC3;33;3;Neuron;N_33
20191206_010_S209927_iPSC_Neuron_Screen_7_SC3_40;SC3;40;3;Neuron;N_40
20191206_011_S209928_iPSC_Neuron_Screen_8_SC1_27;SC1;27;1;Neuron;N_27
20191206_012_S209929_iPSC_Neuron_Screen_9_SC1_0;SC1;0;1;iPSC;iPSC
20191206_014_S209930_iPSC_Neuron_Screen_10_SC1_15;SC1;15;1;Neuron;N_15
20191206_015_S209931_iPSC_Neuron_Screen_11_SC1_9;SC1;9;1;Neuron;N_09
20191206_016_S209932_iPSC_Neuron_Screen_12_SC1_33;SC1;33;1;Neuron;N_33
20191206_018_S209933_iPSC_Neuron_Screen_13_SC1_21;SC1;21;1;Neuron;N_21
20191206_019_S209934_iPSC_Neuron_Screen_14_SC1_40;SC1;40;1;Neuron;N_40
20191206_020_S209935_iPSC_Neuron_Screen_15_SC2_21;SC2;21;2;Neuron;N_21
20191206_022_S209936_iPSC_Neuron_Screen_16_SC2_15;SC2;15;2;Neuron;N_15
20191206_023_S209937_iPSC_Neuron_Screen_17_SC2_0;SC2;0;2;iPSC;iPSC
20191206_024_S209938_iPSC_Neuron_Screen_18_SC2_27;SC2;27;2;Neuron;N_27
20191206_026_S209939_iPSC_Neuron_Screen_19_SC2_33;SC2;33;2;Neuron;N_33
20191206_027_S209940_iPSC_Neuron_Screen_20_SC2_40;SC2;40;2;Neuron;N_40
20191206_028_S209941_iPSC_Neuron_Screen_21_SC2_9;SC2;9;2;Neuron;N_09
